full_name,height_inches,reach_inches,stance
Bahatebole Batebolati,68.0,71.0,Southpaw
Shamar Bailey,69.0,75.0,Southpaw
Jordan Bailey,69.0,,
Scott Baker,72.0,,
Bryan Baker,75.0,,Orthodox
Jin Bala,69.0,,
 Balajin,69.0,72.0,Orthodox
Oluwale Bamgbose,71.0,78.0,Switch
Stephen Banaszak,72.0,,
Marcin Bandel,70.0,,Orthodox
Humberto Bandenay,71.0,71.0,Southpaw
Tae Hyun Bang,69.0,71.0,Switch
Yohan Banks,,,
Shauna Bannon,65.0,65.0,Switch
Antonio Banuelos,65.0,63.0,Orthodox
Iwo Baraniewski,72.0,73.0,Orthodox
Renan Barao,66.0,70.0,Orthodox
Junior Barata,70.0,,Orthodox
Maycee Barber,65.0,65.0,Switch
Bryan Barberena,72.0,72.0,Southpaw
Djani Barbir,75.0,79.0,Orthodox
Dione Barbosa,66.0,66.0,Orthodox
Marcio Barbosa,66.0,70.0,Orthodox
Edson Barboza,71.0,75.0,Orthodox
Raoni Barcelos,67.0,67.0,Orthodox
Daniel Barez,66.0,66.0,Orthodox
Danny Barlow,74.0,79.0,Southpaw
Luke Barnatt,78.0,77.0,Orthodox
James Barnes,68.0,71.0,Orthodox
Nick Barnes,71.0,,
Shonte Barnes,71.0,76.0,Southpaw
Josh Barnett,75.0,78.0,Orthodox
Chris Barnett,69.0,75.0,Orthodox
Chris Barnhizer,,,
David Baron,66.0,,Switch
Phil Baroni,69.0,72.0,Orthodox
Dan Barrera,69.0,,Orthodox
Carlos Barreto,76.0,,Orthodox
Jose Barreto,,,Southpaw
Peter Barrett,70.0,73.0,Southpaw
Marc-Andre Barriault,73.0,74.0,Orthodox
David Barrios,66.0,,
Alexandre Barros,69.0,,Southpaw
Ricardo Barros,73.0,,
Francimar Barroso,73.0,75.0,Orthodox
Pat Barry,71.0,74.0,Orthodox
Dean Barry,70.0,72.0,Orthodox
Enrique Barzola,67.0,70.0,Orthodox
Javid Basharat,69.0,69.0,Orthodox
Farid Basharat,68.0,71.0,Orthodox
Austin Bashi,66.0,70.0,Orthodox
Stephen Bass,69.0,,Orthodox
Sean Bassett,,,
Ryan Bastianelli,65.0,,
Shayna Baszler,67.0,,Orthodox
Namsrai Batbayar,64.0,68.0,Orthodox
Michel Batista,75.0,,Orthodox
Bryan Battle,73.0,77.0,Orthodox
Alan Baudot,75.0,79.0,Orthodox
Mario Bautista,69.0,69.0,Switch
Chris Beal,67.0,69.0,Orthodox
Donovan Beard,74.0,78.0,Orthodox
Rudy Bears,71.0,,Southpaw
Salvador Becerra,69.0,,
Ariel Beck,66.0,66.0,Southpaw
Jack Becker,70.0,71.0,Orthodox
Jeff Bedard,66.0,,Orthodox
Eric Bedard,74.0,,
Johnny Bedford,70.0,71.0,Orthodox
Rolando Bedoya,71.0,74.0,Orthodox
Chase Beebe,67.0,67.0,Orthodox
Lyle Beerbohm,70.0,,Southpaw
Allan Begosso,65.0,66.0,Orthodox
Azamat Bekoev,72.0,72.0,Orthodox
Mirsad Bektic,68.0,70.0,Orthodox
Diana Belbita,67.0,68.0,Orthodox
Alan Belcher,74.0,75.0,Orthodox
Vitor Belfort,72.0,74.0,Southpaw
Yousri Belgaroui,77.0,79.0,Orthodox
Rodolfo Bellato,75.0,75.0,Orthodox
Danilo Belluardo,72.0,74.0,Southpaw
Joey Beltran,73.0,75.0,Orthodox
Marco Beltran,68.0,69.0,Orthodox
Joseph Benavidez,64.0,65.0,Southpaw
Mike Bencic,72.0,,Orthodox
Dave Beneteau,74.0,,Orthodox
Karla Benitez,63.0,,
Gabriel Benitez,68.0,71.0,Southpaw
Charles Bennett,68.0,,Orthodox
Josh Bennett,76.0,,Orthodox
DeAnna Bennett,64.0,68.0,Orthodox
Benjamin Bennett,72.0,73.0,Switch
Lance Benoist,71.0,72.0,Southpaw
Joe Benoit,69.0,,Orthodox
Ryan Benoit,65.0,68.0,Orthodox
Pat Benson,69.0,,
Len Bentley,69.0,,
Steve Berger,71.0,,Orthodox
Kenneth Bergh,74.0,74.0,Orthodox
Bret Bergmark,69.0,,
Keith Berish,72.0,,Orthodox
Dennis Bermudez,66.0,66.0,Orthodox
Manny Bermudez,70.0,71.0,Orthodox
Talita Bernardo,64.0,68.0,Orthodox
Dave Berry,,,
Keith Berry,73.0,,
Dieusel Berto,69.0,,
Edson Berto,66.0,,Orthodox
Allen Berube,68.0,,Orthodox
Anton Berzin,74.0,,Orthodox
Scott Bessac,76.0,,
Matt Bessette,70.0,70.0,Orthodox
Khadzhi Bestaev,78.0,76.0,
Fernando Bettega,,,
Arjan Bhullar,73.0,75.0,Orthodox
KB Bhullar,76.0,78.0,Switch
Bibulatov Magomed,65.0,65.0,Orthodox
David Bielkheden,70.0,71.0,Orthodox
Blake Bilder,68.0,68.0,Switch
Jonas Bilharinho,71.0,75.0,Switch
Jeremiah Billington,69.0,,Orthodox
Scott Bills,70.0,,
Anthony Birchak,68.0,69.0,Orthodox
Chris Birchler,75.0,,Switch
Angad Bisht,67.0,67.0,Orthodox
Michael Bisping,73.0,75.0,Orthodox
Amaury Bitetti,69.0,,Orthodox
Caio Bittencourt,72.0,75.0,Orthodox
Davi Bittencourt,65.0,65.0,Orthodox
Simon Biyong,,,
Jan Blachowicz,74.0,78.0,Orthodox
Jason Black,68.0,,Orthodox
Brad Blackburn,70.0,73.0,Orthodox
Jason Blackford,,,
Tom Blackledge,,,Orthodox
Sherrard Blackledge,71.0,75.0,Orthodox
Da'Mon Blackshear,70.0,72.0,Switch
Chasen Blair,70.0,71.0,Orthodox
Erin Blanchfield,64.0,66.0,Orthodox
Maximo Blanco,68.0,71.0,Orthodox
David Blanco,67.0,,
Curtis Blaydes,76.0,80.0,Orthodox
Tereza Bleda,69.0,71.0,Orthodox
Arlene Blencowe,65.0,,
Byron Bloodworth,68.0,,Orthodox
Dashawn Boatwright,72.0,,Orthodox
Dan Bobish,74.0,,Southpaw
Mark Bocek,68.0,75.0,Orthodox
Kyle Bochniak,67.0,70.0,Orthodox
James Bochnovic,76.0,81.0,Orthodox
Jeremy Boczulak,,,
Tim Boetsch,72.0,74.0,Orthodox
Galore Bofando,71.0,72.0,Switch
Jay Bogan,,,
Roman Bogatov,68.0,73.0,Orthodox
Derek Bohi,76.0,,
Jerry Bohlander,71.0,,Orthodox
Mandy Bohm,67.0,71.0,Orthodox
Kotetsu Boku,69.0,,Orthodox
Gaston Bolanos,67.0,69.0,Orthodox
Kyle Bolt,74.0,,
Denys Bondar,66.0,69.0,Orthodox
Luc Bondole,74.0,,
Tony Bonello,74.0,,
Gabriel Bonfim,73.0,72.0,Orthodox
Ismael Bonfim,68.0,71.0,Orthodox
Jesse Bongfeldt,72.0,,Orthodox
Marcos Bonilla,70.0,,
Stephan Bonnar,76.0,79.0,Orthodox
Rogerio Bontorin,65.0,67.0,Orthodox
Ray Borg,64.0,63.0,Orthodox
Igor Borisov,72.0,,Orthodox
Kevin Borjas,65.0,68.0,Orthodox
Calen Born,68.0,72.0,Switch
Caio Borralho,73.0,75.0,Southpaw
Zachary Borrego,74.0,78.0,Switch
Viacheslav Borshchev,71.0,69.0,Orthodox
Tanner Boser,74.0,75.0,Orthodox
Steve Bosse,71.0,72.0,Orthodox
Marcus Bossett,73.0,,Orthodox
Chris Bostick,,,
Poliana Botelho,68.0,67.0,Orthodox
Francois Botha,74.0,,Orthodox
Ilian Bouafia,77.0,78.0,Southpaw
Gregory Bouchelaghem,74.0,,Switch
Roy Boughton,72.0,,
Rich Bouphanouvong,67.0,,
Mike Bourke,72.0,,Orthodox
Jess Bouscal,,,
Tai Bowden,71.0,,
Melton Bowen,72.0,,Orthodox
Kyron Bowen,75.0,73.0,Orthodox
Brian Bowles,67.0,70.0,Orthodox
Roger Bowling,69.0,68.0,Orthodox
Blake Bowman,74.0,,
Ashe Bowman,69.0,,
Anvar Boynazarov,69.0,,Orthodox
Colley Bradford,67.0,,
Kyle Bradley,69.0,71.0,Orthodox
Paul Bradley,69.0,,Orthodox
Sean Brady,70.0,72.0,Orthodox
Ebenezer Fontes Braga,72.0,,Orthodox
Ramiz Brahimaj,70.0,72.0,Orthodox
Adam Bramhald,70.0,70.0,Orthodox
Joe Brammer,68.0,,Orthodox
David Branch,73.0,78.0,Orthodox
Billy Brand,66.0,65.0,Orthodox
Diego Brandao,67.0,64.0,Orthodox
Bruna Brasil,66.0,65.0,Orthodox
Michael Bravo,,,
Martin Bravo,68.0,71.0,Southpaw
Roman Bravo-Young,,,
Mike Breeden,70.0,70.0,Orthodox
Tom Breese,75.0,73.0,Southpaw
Elves Brener,70.0,72.0,Orthodox
Chris Brennan,68.0,,Orthodox
Charlie Brenneman,70.0,70.0,Orthodox
Robert Breslin,71.0,,
Mack Brewer,,,
Marcos Brigagao,75.0,76.0,Southpaw
Jason Brilz,71.0,71.0,Orthodox
Marcus Brimage,64.0,71.0,Southpaw
Aaron Brink,75.0,,Orthodox
Henry Briones,68.0,69.0,Orthodox
Marcelo Brito,73.0,,Orthodox
Joanderson Brito,68.0,72.0,Orthodox
Kaik Brito,71.0,72.0,Orthodox
Icaro Brito,,,
Antwain Britt,73.0,77.0,
Drew Brokenshire,,,
Mike Bronzoulis,72.0,,
Jonathan Brookins,72.0,74.0,Southpaw
Will Brooks,70.0,72.0,Orthodox
Jarred Brooks,63.0,62.0,Switch
Rob Broughton,74.0,74.0,Orthodox
Lee Brousseau,73.0,,
Matt Brown,72.0,75.0,Orthodox
Mike Brown,66.0,70.0,Orthodox
Dominic Brown,71.0,,
Todd Brown,71.0,,Orthodox
Terrell Brown,,,
Chris Brown,,,
Frederick Brown,72.0,,
Randy Brown,75.0,78.0,Orthodox
Damien Brown,70.0,68.0,Orthodox
TJ Brown,69.0,72.0,Switch
Humberto Brown Morrison,70.0,,
Travis Browne,78.0,79.0,Orthodox
Junie Browning,69.0,,Orthodox
Jules Bruchez,72.0,,Southpaw
Justin Bruckmann,69.0,,Orthodox
Cody Brundage,72.0,72.0,Orthodox
