full_name,height_inches,reach_inches,stance
Kenny Giddens,71.0,,
Thomas Gifford,73.0,75.0,Orthodox
Joseph Gigliotti,71.0,,Orthodox
Joey Gilbert,71.0,,Orthodox
Trevin Giles,72.0,74.0,Orthodox
Kultar Gill,72.0,,Orthodox
Jesse Gillespie,,,
Gregor Gillespie,67.0,71.0,Orthodox
Jason Gilliam,72.0,,Orthodox
Micheal Gillmore,71.0,72.0,Orthodox
Krishaun Gilmore,,,
Alex Gilpin,67.0,,Orthodox
Bob Gilstrap,75.0,,Orthodox
Max Gimenis,,,
Eperaim Ginting,64.0,64.0,Orthodox
Demetrius Gioulacos,71.0,,
Billy Giovanella,68.0,,
He-Man Gipson,,,
Israel Giron,68.0,,
Brandon Girtz,67.0,,
Jason Glaza,72.0,,
Mike Glenn,,,
Ricky Glenn,72.0,70.0,Southpaw
Ivan Gnizditskiy,,,
Mark Godbeer,76.0,77.0,Orthodox
Clint Godfrey,66.0,,Southpaw
Loopy Godinez,62.0,61.0,Orthodox
Jason Godsey,74.0,,Orthodox
Allan Goes,72.0,,Orthodox
Billy Ray Goff,70.0,72.0,Switch
Amiran Gogoladze,73.0,74.0,Switch
Jonny Goh,71.0,,
Hannah Goldy,64.0,61.0,Orthodox
Marcelo Golm,75.0,75.0,Orthodox
Denise Gomes,62.0,63.0,Orthodox
Sergio Gomez,66.0,,Orthodox
Frank Gomez,70.0,67.0,Orthodox
Alan Gomez,,,
David Gomez,,,
Ulysses Gomez,66.0,,Orthodox
Joey Gomez,70.0,73.0,Orthodox
Luis Gomez,67.0,68.0,Orthodox
Joey Gomez,70.0,71.0,Orthodox
Edson Gomez,68.0,69.0,Switch
Silvana Gomez Juarez,63.0,65.0,Orthodox
Takanori Gomi,67.0,70.0,Southpaw
William Gomis,72.0,73.0,Southpaw
Akihiro Gono,67.0,68.0,Switch
Gabriel Gonzaga,74.0,76.0,Orthodox
Justin Gonzales,69.0,72.0,Orthodox
Fernando Gonzalez,69.0,68.0,Southpaw
Nick Gonzalez,66.0,,Orthodox
Fabian Gonzalez,70.0,,
Lewis Gonzalez,70.0,,Orthodox
Jason Gonzalez,74.0,74.0,Southpaw
Pearl Gonzalez,64.0,,Orthodox
Jorge Gonzalez,74.0,76.0,Orthodox
Mikey Gonzalez,71.0,74.0,Orthodox
Erick Gonzalez,71.0,75.0,Orthodox
Jennifer Gonzalez,62.0,,
Kier Gooch,,,
Lyman Good,72.0,74.0,Orthodox
Jared Gooden,72.0,77.0,Orthodox
Gary Goodridge,75.0,,Orthodox
Jordan Goodwin,,,
Gerard Gordeau,77.0,,Orthodox
Eddie Gordon,72.0,76.0,Orthodox
Jared Gordon,69.0,68.0,Orthodox
Tebaris Gordon,73.0,,Orthodox
Malcolm Gordon,67.0,71.0,Switch
Tresean Gore,72.0,75.0,Switch
Alex Gorgees,74.0,74.0,Switch
Themba Gorimbo,73.0,77.0,Orthodox
Tim Gorman,65.0,,Southpaw
Chase Gormley,75.0,,Orthodox
Jonathan Goulet,72.0,73.0,Orthodox
Thibault Gouti,70.0,72.0,Orthodox
Wilson Gouveia,73.0,76.0,Orthodox
Todd Gouwenberg,73.0,,Orthodox
Hugo Govea,,,
Justin Governale,,,
Damian Grabowski,73.0,75.0,Orthodox
Patryk Grabowski,,,
Royce Gracie,73.0,,Southpaw
Crosley Gracie,69.0,,Orthodox
Daniel Gracie,74.0,,Orthodox
Ralph Gracie,69.0,,Orthodox
Renzo Gracie,70.0,,Orthodox
Rickson Gracie,70.0,,Switch
Rodrigo Gracie,72.0,,Orthodox
Royler Gracie,68.0,,Southpaw
Ryan Gracie,69.0,,Orthodox
Ralek Gracie,74.0,,Orthodox
Rolles Gracie,76.0,,Orthodox
Cesar Gracie,70.0,,Orthodox
Roger Gracie,76.0,79.0,Orthodox
Igor Gracie,71.0,,
Neiman Gracie,72.0,,
Kron Gracie,69.0,70.0,Southpaw
Bogdan Grad,68.0,70.0,Orthodox
Steven Graham,73.0,,Orthodox
Scott Graham,76.0,,Orthodox
Miranda Granger,67.0,68.0,Orthodox
TJ Grant,70.0,72.0,Orthodox
Davey Grant,68.0,69.0,Orthodox
Dwight Grant,73.0,76.0,Switch
Alexa Grasso,65.0,66.0,Orthodox
Tony Gravely,65.0,69.0,Orthodox
Michael Graves,70.0,71.0,Orthodox
Shelton Graves,74.0,76.0,Southpaw
James Gray,69.0,,Orthodox
Kevin Gray,64.0,67.0,Orthodox
Sam Greco,74.0,,Orthodox
King Green,70.0,71.0,Orthodox
Desmond Green,70.0,73.0,Southpaw
Gabe Green,70.0,73.0,Switch
Maurice Greene,79.0,80.0,Orthodox
Matt Grice,68.0,70.0,Orthodox
Forrest Griffin,75.0,77.0,Orthodox
Tyson Griffin,66.0,68.0,Orthodox
Max Griffin,71.0,76.0,Orthodox
Jordan Griffin,70.0,73.0,Southpaw
Chad Griggs,73.0,73.0,Orthodox
Charalampos Grigoriou,67.0,67.0,Orthodox
Chuck Grigsby,78.0,,Orthodox
Rodrigo Gripp de Sousa,71.0,,Orthodox
Maxim Grishin,75.0,78.0,Orthodox
Josh Grispi,71.0,74.0,Orthodox
Garrett Gross,69.0,,Orthodox
Kendall Grove,78.0,79.0,Orthodox
Neil Grove,78.0,,Orthodox
Chris Gruetzemacher,68.0,68.0,Orthodox
Vik Grujic,71.0,73.0,Orthodox
Mike Grundy,67.0,72.0,Orthodox
Wang Guan,69.0,71.0,Orthodox
Anthony Guarascio,74.0,72.0,Orthodox
Nandor Guelmino,75.0,,
Fabricio Guerreiro,70.0,,
Rainn Guerrero,66.0,65.0,Orthodox
Shannon Gugerty,70.0,71.0,Orthodox
Clay Guida,67.0,70.0,Orthodox
Jason Guida,70.0,,
Melvin Guillard,69.0,71.0,Orthodox
Chris Guillen,72.0,,Orthodox
Marcelo Guimaraes,72.0,73.0,Orthodox
Leonardo Guimaraes,72.0,,Orthodox
Brad Gumm,71.0,,Orthodox
John Gunderson,69.0,69.0,Orthodox
John Gunther,69.0,72.0,Orthodox
Jorge Gurgel,67.0,69.0,Orthodox
Fabio Gurgel,72.0,,Orthodox
Luis Gurule,65.0,64.0,Orthodox
Bogdan Guskov,75.0,76.0,Orthodox
Gugun Gusman,67.0,68.0,Orthodox
Andre Gusmao,72.0,,Orthodox
Alexander Gustafsson,77.0,79.0,Orthodox
Andreas Gustafsson,73.0,73.0,Orthodox
Justin Guthrie,73.0,,
Horacio Gutierrez,70.0,,
Chris Gutierrez,69.0,67.0,Orthodox
Mando Gutierrez,66.0,70.0,Southpaw
Mike Guymon,72.0,74.0,Orthodox
Chelsea Hackett,64.0,66.0,Switch
Keith Hackney,71.0,,Sideways
Cody Haddon,67.0,69.0,Orthodox
Jake Hadley,67.0,70.0,Southpaw
Steve Hadsel,68.0,,
Damir Hadzovic,69.0,70.0,Orthodox
Bassil Hafez,71.0,72.0,Orthodox
Tim Hague,76.0,76.0,Orthodox
Theo Haig,74.0,77.0,Orthodox
Yazan Hajeh,69.0,,Orthodox
Stoney Hale,72.0,,
Kevin Haley,74.0,,
Mark Hall,72.0,,Orthodox
Uriah Hall,72.0,79.0,Orthodox
Ryan Hall,70.0,70.0,Southpaw
Dennis Hallman,69.0,72.0,Orthodox
Piotr Hallmann,69.0,71.0,Orthodox
Tony Halme,75.0,,Orthodox
Brandon Halsey,72.0,,
John Halverson,69.0,,Southpaw
Seo Hee Ham,62.0,62.0,Southpaw
Frank Hamaker,,,
Kazuhiro Hamanaka,72.0,,Southpaw
Rami Hamed,73.0,71.0,Orthodox
Matt Hamill,73.0,76.0,Orthodox
Jeremy Hamilton,,,
Anthony Hamilton,77.0,76.0,Orthodox
CJ Hamilton,67.0,68.0,Switch
Jared Hamman,75.0,75.0,Orthodox
James Hammortree,75.0,,Orthodox
Dean Hancock,,,
Chad Hanekom,76.0,74.0,Orthodox
Joachim Hansen,67.0,,Southpaw
Kay Hansen,62.0,63.0,Orthodox
Nasrat Haqparast,70.0,72.0,Southpaw
Shin Haraguchi,65.0,68.0,Switch
Janay Harding,,,
Antoni Hardonk,76.0,78.0,Orthodox
George Hardwick,70.0,72.0,Orthodox
Harry Hardwick,68.0,71.0,Switch
Dan Hardy,72.0,74.0,Orthodox
Veronica Hardy,64.0,64.0,Southpaw
Greg Hardy,77.0,80.0,Orthodox
Tobias Harila,,,
Baru Harn,,,
Scott Harper,72.0,,Orthodox
Josiah Harrell,67.0,68.0,Southpaw
Gerry Harris,80.0,,Orthodox
Gerald Harris,71.0,77.0,Southpaw
Phil Harris,64.0,65.0,Orthodox
Walt Harris,77.0,77.0,Southpaw
Dhafir Harris,,,
Trevor Harris,66.0,,
Carlston Harris,72.0,76.0,Orthodox
Kayla Harrison,68.0,66.0,Southpaw
Collin Hart,73.0,,Orthodox
Joey Hart,75.0,79.0,Orthodox
Dale Hartt,70.0,69.0,Orthodox
Luke Hartwig,,,
Clay Harvison,73.0,74.0,Orthodox
Hidehiko Hasegawa,69.0,,
Chris Haseman,71.0,,Orthodox
Takayo Hashi,64.0,,Orthodox
Tomohiko Hashimoto,72.0,,Orthodox
Justin Haskins,70.0,,Orthodox
Hayder Hassan,70.0,,
Ahmad Hassanzada,73.0,75.0,Orthodox
Daiki Hata,66.0,,Orthodox
John Hathaway,73.0,75.0,Orthodox
Phil Hawes,72.0,77.0,Orthodox
Justin Hawes,71.0,,
Chris Hawk,73.0,,
Del Hawkins,65.0,,Orthodox
Tommy Hayden,69.0,,Southpaw
Mike Hayes,76.0,,Orthodox
Ryan Hayes,,,
Gerric Hayes,70.0,,
Josh Haynes,69.0,,Orthodox
Dustin Hazelett,73.0,76.0,Orthodox
James Head,73.0,73.0,Orthodox
Pat Healy,72.0,72.0,Orthodox
Ryan Healy,73.0,,Orthodox
Spencer Hearns,71.0,,
David Heath,71.0,72.0,Orthodox
Chris Heatherly,69.0,,Orthodox
Jake Hecht,72.0,73.0,Orthodox
Donavon Hedrick,71.0,76.0,Orthodox
Nick Hein,66.0,66.0,Southpaw
Ian Heinisch,71.0,72.0,Orthodox
Marcin Held,69.0,71.0,Orthodox
Delson Heleno,71.0,,Orthodox
Matt Helm,,,
Elisha Helsper,66.0,,Orthodox
Dan Henderson,71.0,74.0,Orthodox
Benson Henderson,69.0,70.0,Southpaw
Ron Henderson,70.0,,
Josh Hendricks,74.0,,Southpaw
Johny Hendricks,69.0,69.0,Southpaw
Cory Hendricks,75.0,,Switch
Luis Henrique,74.0,74.0,Orthodox
Jose Henrique,75.0,79.0,Orthodox
Paulo Henrique,67.0,69.0,
Diego Henrique da Silva,74.0,,Orthodox
Danny Henry,72.0,73.0,Orthodox
Victor Henry,67.0,68.0,Switch
TJ Hepburn,67.0,,
Jai Herbert,73.0,77.0,Orthodox
Ed Herman,73.0,77.0,Orthodox
Dave Herman,76.0,77.0,Orthodox
Jack Hermansson,73.0,77.0,Orthodox
Noe Hernandez,,,Orthodox
Joe Hernandez,,,
Ramiro Hernandez,69.0,,Orthodox
Alexander Hernandez,69.0,72.0,Orthodox
Anthony Hernandez,72.0,75.0,Orthodox
Nohelin Hernandez,70.0,71.0,Orthodox
Carlos Hernandez,68.0,67.0,Orthodox
Leslie Hernandez,63.0,64.0,Orthodox
Paul Herrera,70.0,,Orthodox
Chris Herrera,70.0,,
Geane Herrera,65.0,66.0,Orthodox
Alvaro Herrera Mendoza,72.0,74.0,Orthodox
Felice Herrig,64.0,65.0,Orthodox
Heath Herring,76.0,78.0,Orthodox
Jon Hess,79.0,,
Clint Hester,74.0,77.0,Orthodox
Brandon Hester,73.0,,
Jimy Hettes,69.0,71.0,Southpaw
Conor Heun,70.0,,Orthodox
Marcus Hicks,66.0,64.0,Southpaw
Jay Hieron,72.0,75.0,Orthodox
Brady Hiestand,68.0,71.0,Orthodox
Lee Higgins,,,
Jason High,68.0,73.0,Southpaw
Richie Hightower,68.0,,Orthodox
Alex Higley,70.0,,
Corey Hill,76.0,80.0,Orthodox
Isaiah Hill,70.0,,
Angela Hill,63.0,64.0,Orthodox
Tyler Hill,75.0,,Switch
Jamahal Hill,76.0,79.0,Southpaw
Kailan Hill,73.0,77.0,Southpaw
Alvin Hines,74.0,74.0,Orthodox
Branden Lee Hinkle,75.0,,Orthodox
Hatsu Hioki,71.0,73.0,Orthodox
Alan Hiro,65.0,,Orthodox
Kuniyoshi Hironaka,70.0,70.0,Orthodox
Mizuto Hirota,67.0,67.0,Orthodox
Yuji Hisamatsu,70.0,,
An Tuan Ho,66.0,66.0,Switch
Kwan Ho Kwak,65.0,,Switch
Matt Hobar,70.0,70.0,Southpaw
Bobby Hoffman,74.0,,Orthodox
Chris Hofmann,72.0,72.0,Orthodox
Sam Hoger,74.0,,Orthodox
Josh Hokit,73.0,73.0,Orthodox
Andrew Holbrook,71.0,70.0,Southpaw
Sean Holden,70.0,,
Chris Holdsworth,71.0,,
Kevin Holland,75.0,81.0,Orthodox
Roger Hollett,71.0,,Orthodox
Max Holloway,71.0,69.0,Orthodox
Gabrielle Holloway,63.0,,
Jeremie Holloway,72.0,,
Holly Holm,68.0,69.0,Southpaw
Rex Holman,75.0,,Southpaw
Joseph Holmes,76.0,80.0,Orthodox
Brandon Holmes,74.0,74.0,Orthodox
Kurt Holobaugh,71.0,70.0,Orthodox
Paddy Holohan,70.0,69.0,Orthodox
Ben Holscher,71.0,,
Mark Holst,72.0,,Orthodox
Scott Holtzman,69.0,69.0,Orthodox
Sabah Homasi,72.0,72.0,Orthodox
Mark Hominick,68.0,68.0,Orthodox
Barb Honchak,64.0,65.0,Orthodox
Chris Honeycutt,70.0,73.0,
JunYoung Hong,69.0,69.0,Orthodox
SeongChan Hong,67.0,69.0,Orthodox
Satoshi Honma,73.0,,Orthodox
David Hood,72.0,,
Lorenzo Hood,75.0,80.0,Southpaw
Dan Hooker,72.0,75.0,Switch
Chase Hooper,73.0,74.0,Southpaw
Darrell Horcher,70.0,70.0,Southpaw
Moti Horenstein,76.0,,Orthodox
Yoshinori Horie,68.0,70.0,Orthodox
Kyoji Horiguchi,65.0,66.0,Orthodox
Yuma Horiuchi,66.0,67.0,Switch
Jeremy Horn,73.0,74.0,Orthodox
Matt Horning,64.0,,
Chris Horodecki,69.0,69.0,Orthodox
Jamey-Lyn Horth,67.0,66.0,Orthodox
Matt Horwich,73.0,,Orthodox
John Hosman,70.0,,Southpaw
Saeed Hosseini,,,
Jeff Hougland,67.0,68.0,Orthodox
Trey Houston,71.0,,
Jamie Houston,,,
Brian Houston,74.0,,Orthodox
Harold Howard,74.0,,Orthodox
John Howard,67.0,72.0,Orthodox
Shane Howell,68.0,,Orthodox
Hu Yaozong,75.0,72.0,Orthodox
Carlos Huachin,64.0,67.0,Southpaw
Brady Huang,69.0,69.0,Orthodox
Yuele Huang,,,
Huang Feier,65.0,65.0,Orthodox
Austin Hubbard,70.0,71.0,Orthodox
Collin Huckbody,75.0,76.0,Orthodox
Alex Huddleston,79.0,,
Roger Huerta,69.0,70.0,Orthodox
Casey Huffman,75.0,,
Matt Hughes,69.0,73.0,Switch
Mark Hughes,69.0,,Southpaw
Jeff Hughes,74.0,77.0,Orthodox
Sam Hughes,65.0,64.0,Orthodox
Victor Hugo,67.0,71.0,Orthodox
David Hulett,70.0,,
Dominik Humburger,,,
Bryan Humes,,,
Abongo Humphrey,71.0,,Orthodox
Harry Hunsucker,74.0,75.0,Orthodox
Mark Hunt,70.0,72.0,Orthodox
Alex Hunter,69.0,,Orthodox
Adam Hunter,73.0,,Orthodox
Joe Hurley,68.0,,
Solomon Hutcherson,71.0,,Southpaw
Young Hwang,69.0,,
In Su Hwang,71.0,74.0,Orthodox
Al Iaquinta,70.0,70.0,Orthodox
Khadis Ibragimov,75.0,78.0,Orthodox
Minoki Ichihara,67.0,,Orthodox
Alibi Idiris,66.0,68.0,Orthodox
Dan Ige,67.0,71.0,Orthodox
Valeri Ignatov,69.0,,Orthodox
Sergey Ignatov,69.0,,Orthodox
Fabiano Iha,68.0,,Orthodox
Seichi Ikemoto,71.0,,Orthodox
Mikhail Iloukhine,69.0,,Orthodox
Zelim Imadaev,72.0,76.0,Orthodox
Yusuke Imamura,68.0,,Orthodox
Masakazu Imanari,64.0,,Southpaw
Nassourdine Imavov,75.0,75.0,Orthodox
Brad Imes,79.0,,Orthodox
Michael Imperato,67.0,66.0,Switch
Rui Imura,70.0,69.0,Southpaw
Chris Indich,70.0,,
Chris Inman,,,
Guto Inocente,75.0,,Orthodox
Enson Inoue,70.0,,Orthodox
Egan Inoue,69.0,,Southpaw
Katsuya Inoue,69.0,,Southpaw
Takeshi Inoue,68.0,,
Naoki Inoue,69.0,71.0,Orthodox
Jorge Interiano,73.0,,
Jason Ireland,69.0,,Southpaw
James Irvin,74.0,75.0,Orthodox
Eric Irvin,68.0,,
Issa Isakov,69.0,70.0,Orthodox
Mitsuhiro Ishida,66.0,,Southpaw
Teruto Ishihara,67.0,69.0,Southpaw
Satoshi Ishii,71.0,,Orthodox
Yuki Ishikawa,71.0,,Orthodox
Eiji Ishikawa,70.0,,
Tokimitsu Ishizawa,72.0,,Orthodox
Damir Ismagulov,70.0,74.0,Orthodox
Wallid Ismail,67.0,,Orthodox
Leandro Issa,67.0,69.0,Orthodox
Kuya Ito,65.0,66.0,Orthodox
Blagoy Ivanov,71.0,73.0,Southpaw
Anthony Ivy,74.0,74.0,Orthodox
Tomomi Iwama,63.0,,Orthodox
Tatsuya Iwasaki,69.0,,Orthodox
Taiga Iwasaki,73.0,73.0,Orthodox
Saygid Izagakhmaev,,,
Yoislandy Izquierdo,71.0,,Southpaw
Hiroshi Izumi,,,Orthodox
Yves Jabouin,67.0,68.0,Orthodox
Kevin Jackson,70.0,,Switch
Eugene Jackson,68.0,,Orthodox
Quinton Jackson,73.0,73.0,Orthodox
Jeremy Jackson,70.0,,Orthodox
Damon Jackson,71.0,71.0,Switch
Kenyon Jackson,72.0,,
Mike Jackson,74.0,74.0,Orthodox
Jason Jackson,73.0,78.0,Orthodox
Montel Jackson,70.0,75.0,Southpaw
Eric Jacob,,,
Richard Jacobi,76.0,75.0,Orthodox
Dustin Jacoby,75.0,76.0,Orthodox
Justin James,70.0,,Orthodox
Nate James,72.0,,
Virna Jandiroba,63.0,64.0,Orthodox
Ryan Janes,75.0,76.0,Orthodox
YunSeong Jang,72.0,72.0,Orthodox
Josh Janousek,71.0,,Orthodox
Dave Jansen,69.0,73.0,Orthodox
Jaime Jara,73.0,,Southpaw
Gigo Jara,69.0,,
Keith Jardine,74.0,76.0,Orthodox
Brock Jardine,71.0,,Orthodox
Josh Jarvis,,,
Rony Jason,67.0,73.0,Orthodox
Jasmine Jasudavicius,67.0,68.0,Orthodox
Louis Jauregui,67.0,,
Yazmin Jauregui,63.0,64.0,Orthodox
Justin Jaynes,67.0,68.0,Orthodox
Joanna Jedrzejczyk,66.0,65.0,Orthodox
Aaron Jeffery,74.0,73.0,Orthodox
Trent Jenkins,74.0,,
Bubba Jenkins,67.0,,
Adrienna Jenkins,68.0,,
Brandon Jenkins,72.0,71.0,Switch
Jack Jenkins,67.0,68.0,Switch
Steve Jennum,70.0,,Orthodox
Ryan Jensen,73.0,76.0,Orthodox
Kyle Jensen,69.0,,Orthodox
Chan-Mi Jeon,65.0,,Orthodox
Maciej Jewtuszko,72.0,,Southpaw
Ronald Jhun,71.0,,Orthodox
Baergeng Jieleyisi,69.0,71.0,Orthodox
Gilbert Jimenez,,,
Ramiro Jimenez,69.0,73.0,Southpaw
Art Jimmerson,73.0,,Orthodox
Ryan Jimmo,73.0,73.0,Orthodox
Jinensibieke Asikeerbai,66.0,69.0,Orthodox
 Jiniushiyue,66.0,68.0,Southpaw
Sung Bin Jo,72.0,72.0,Orthodox
Carls John De Tomas,65.0,71.0,Southpaw
Phil Johns,62.0,,Southpaw
Brett Johns,67.0,71.0,Orthodox
Miles Johns,67.0,68.0,Orthodox
Anthony Johnson,74.0,78.0,Orthodox
DaMarques Johnson,73.0,75.0,Orthodox
Devin Johnson,,,
Travis Johnson,,,
Ricky Johnson,68.0,,Orthodox
Tony Johnson,74.0,76.0,Orthodox
Lavar Johnson,76.0,82.0,Orthodox
Demetrious Johnson,63.0,66.0,Orthodox
Michael Johnson,70.0,73.0,Southpaw
Deshaun Johnson,,,
Kajan Johnson,71.0,75.0,Orthodox
Dashon Johnson,67.0,,Orthodox
Timothy Johnson,75.0,77.0,Southpaw
Tony Johnson,73.0,,
Jordan Johnson,74.0,79.0,Orthodox
Taylor Johnson,72.0,74.0,Switch
Chad Johnson,74.0,80.0,Orthodox
Jose Johnson,72.0,71.0,Orthodox
Charles Johnson,69.0,70.0,Switch
Donte Johnson,68.0,74.0,Southpaw
Brian Johnston,75.0,,Orthodox
Liana Jojua,64.0,62.0,Orthodox
Nikola Joksovic,,,
Daniel Jolly,73.0,75.0,Orthodox
Paul Jones,69.0,,Orthodox
Jon Jones,76.0,84.0,Orthodox
Nathan Jones,83.0,,Orthodox
Marcus Jones,78.0,,Orthodox
Carlton Jones,73.0,,Orthodox
Jesse Jones,69.0,,
Tito Jones,68.0,,Southpaw
Roy Jones,,,
Justin Jones,71.0,,Orthodox
Ben Jones,,,
Victor Jones,,,
Chris Jones,69.0,,
Roshaun Jones,68.0,,
Jamelle Jones,72.0,75.0,Orthodox
Antonio Jones,71.0,,Orthodox
Trevin Jones,67.0,70.0,Southpaw
Mason Jones,70.0,74.0,Orthodox
Craig Jones,,,
Jacobi Jones,69.0,72.0,Orthodox
Jocelyn Jones-Lybarger,67.0,64.0,Orthodox
Kevin Jordan,75.0,,Orthodox
Joe Jordan,66.0,,Orthodox
Shawn Jordan,72.0,75.0,Southpaw
Ivan Jorge,69.0,73.0,Orthodox
Scott Jorgensen,65.0,66.0,Orthodox
Gareth Joseph,,,
Dwight Joseph,66.0,,Switch
Jeff Joslin,72.0,,Orthodox
Krzysztof Jotko,73.0,77.0,Southpaw
Alan Jouban,72.0,73.0,Southpaw
Charles Jourdain,69.0,69.0,Switch
Louis Jourdain,69.0,69.0,Orthodox
Kevin Jousset,74.0,75.0,Orthodox
Mike Joy,66.0,,Southpaw
Dustin Joynson,78.0,78.0,Orthodox
Tony Juarez,,,
Jesse Juarez,73.0,,Orthodox
Ernie Juarez,68.0,70.0,
Anshul Jubli,72.0,69.0,Switch
Carli Judice,67.0,68.0,Southpaw
Steve Judson,71.0,,Orthodox
Luke Jumeau,71.0,72.0,Orthodox
Bu-Kyung Jung,67.0,,Orthodox
Chan Sung Jung,67.0,72.0,Orthodox
Young Sam Jung,68.0,,Orthodox
Da Woon Jung,76.0,78.0,Orthodox
Scott Junk,73.0,,Orthodox
Myles Jury,70.0,73.0,Orthodox
Cristiane Justino,68.0,68.0,Orthodox
Patrick Kaase,69.0,,
Emily Kagan,63.0,,
Oron Kahlon,68.0,70.0,Orthodox
 Kaiwen,68.0,71.0,Switch
Sirwan Kakai,65.0,,Orthodox
Saidyokub Kakhramonov,68.0,69.0,Orthodox
Geza Kalman,73.0,,
Bryson Kamaka,71.0,,Orthodox
Kai Kamaka,67.0,69.0,Orthodox
Shah Kamali,,,
Shuya Kamikubo,65.0,68.0,Switch
Daichi Kamiya,68.0,68.0,Southpaw
Martin Kampmann,72.0,72.0,Orthodox
Koya Kanda,69.0,75.0,Southpaw
Bharat Kandare,67.0,72.0,Orthodox
Hiromitsu Kanehara,70.0,,Orthodox
Masanori Kanehara,67.0,67.0,Orthodox
Ken Kaneko,72.0,,Orthodox
Denis Kang,71.0,77.0,Orthodox
Kyung Ho Kang,69.0,73.0,Orthodox
Manel Kape,65.0,68.0,Southpaw
David Kaplan,67.0,,Orthodox
Kai Kara-France,64.0,69.0,Orthodox
Georgi Karakhanyan,68.0,,
Alex Karalexis,68.0,66.0,Orthodox
Ernesta Kareckaite,69.0,71.0,Orthodox
Impa Kasanganay,71.0,75.0,Orthodox
Jinnosuke Kashimura,67.0,71.0,Southpaw
Nadia Kassem,65.0,66.0,Southpaw
Yusuke Kasuya,67.0,,Southpaw
Tetsuji Kato,,,Orthodox
Hisaki Kato,72.0,,
Brad Katona,66.0,64.0,Orthodox
Calvin Kattar,71.0,72.0,Orthodox
Sarah Kaufman,65.0,66.0,Orthodox
Lone'er Kavanagh,66.0,67.0,Orthodox
Yusuke Kawaguchi,72.0,,
Canaan Kawaihae,72.0,71.0,Southpaw
Tatsuya Kawajiri,67.0,69.0,Orthodox
Ryo Kawamura,71.0,,Orthodox
Masuto Kawana,66.0,69.0,Orthodox
Doug Kay,,,
Toshiomi Kazama,67.0,69.0,Orthodox
Julie Kedzie,65.0,,Orthodox
Ryan Keenan,70.0,,
Losene Keita,68.0,72.0,Orthodox
CJ Keith,72.0,,Orthodox
Chris Kelades,67.0,68.0,Orthodox
Brian Kelleher,66.0,66.0,Switch
Mayana Kellem,65.0,,Orthodox
Tony Kelley,69.0,70.0,Switch
Paul Kelly,69.0,70.0,Orthodox
John Kelly,69.0,,
Daniel Kelly,72.0,70.0,Southpaw
Tim Kennedy,71.0,74.0,Orthodox
Steve Kennedy,71.0,,Orthodox
Jeremy Kennedy,71.0,71.0,Orthodox
Waylon Kennell,72.0,,
Casey Kenney,67.0,68.0,Southpaw
Maimaitituoheti Keremuaili,66.0,66.0,Orthodox
Aurelijus Kerpe,,,Orthodox
Mark Kerr,75.0,,Switch
Will Kerr,70.0,69.0,Orthodox
Ron Keslar,,,
Rustam Khabilov,68.0,73.0,Orthodox
Adam Khaliev,72.0,,Orthodox
Sergey Khandozhko,73.0,74.0,Orthodox
Sergei Kharitonov,72.0,,Orthodox
Alfred Khashakyan,68.0,70.0,Orthodox
Aziz Khaydarov,71.0,72.0,Orthodox
Mansher Khera,70.0,68.0,Orthodox
Aliaskhab Khizriev,69.0,74.0,Southpaw
WonBin Ki,71.0,73.0,Orthodox
Pannie Kianzad,67.0,66.0,Orthodox
Akira Kikuchi,68.0,,Orthodox
Katsunori Kikuno,68.0,66.0,Orthodox
Sanae Kikuta,69.0,,Orthodox
Jacob Kilburn,69.0,72.0,Orthodox
Dong Hyun Kim,74.0,76.0,Southpaw
Jin Oh Kim,69.0,,Orthodox
Dae Won Kim,71.0,,Orthodox
Jong Wang Kim,73.0,,
Jong Won Kim,67.0,,Orthodox
Min Soo Kim,73.0,,Southpaw
Jong Man Kim,67.0,,Orthodox
Ji Yeon Kim,67.0,72.0,Orthodox
MinWoo Kim,68.0,72.0,Orthodox
HanSeul Kim,73.0,73.0,Southpaw
KyeungPyo Kim,69.0,71.0,Orthodox
Sangwook Kim,72.0,71.0,Orthodox
SangWon Kim,69.0,69.0,Orthodox
KyuSung Kim,71.0,69.0,Orthodox
So Yul Kim,,,
Jeremy Kimball,72.0,72.0,Switch
Rob Kimmons,70.0,73.0,Orthodox
Dustin Kimura,67.0,71.0,Orthodox
Taiei Kin,71.0,,Orthodox
Mike King,75.0,,
Kyle Kingsbury,76.0,79.0,Orthodox
Yusaku Kinoshita,72.0,71.0,Southpaw
Kamuela Kirk,70.0,75.0,Switch
Yurij Kiseliov,68.0,,Orthodox
Justine Kish,65.0,64.0,Orthodox
Koji Kitao,79.0,,Southpaw
Satoru Kitaoka,66.0,,
Top Noi Kiwram,65.0,67.0,Southpaw
Ludovit Klein,67.0,72.0,Southpaw
Nick Klein,73.0,77.0,Orthodox
Seth Kleinbeck,74.0,,
Stefan Klever,,,Orthodox
Fatima Kline,66.0,67.0,Orthodox
Felix Klinkhammer,72.0,,
Drakkar Klose,69.0,70.0,Orthodox
Michael Knaap,74.0,,Orthodox
Kevin Knabjian,70.0,,Orthodox
Jason Knight,70.0,71.0,Orthodox
William Knight,70.0,73.0,Orthodox
Josefine Knutsson,63.0,60.0,Orthodox
Seokhyeon Ko,70.0,71.0,Southpaw
Isao Kobayashi,68.0,,
Kelly Kobold,66.0,,Orthodox
