Fighter,Final ELO,Peak ELO
Andre Petroski,1578.73,1601.32
Fares Ziam,1578.71,1578.71
Mick Parkin,1578.44,1578.44
Roman Kopylov,1578.33,1578.33
Ronda Rousey,1578.28,1632.26
Chas Skelly,1577.7,1593.79
Ryan Hall,1577.64,1587.67
Mike Pierce,1577.52,1628.99
Rafael Fiziev,1577.41,1622.67
Quinton Jackson,1577.03,1625.09
Ignacio Bahamondes,1576.8,1576.8
Ailin Perez,1576.1,1576.1
Kai Kara-France,1575.82,1594.24
Roger Huerta,1575.79,1616.3
Uriah Hall,1574.91,1613.69
Krzysztof Jotko,1574.44,1598.57
Tracy Cortez,1574.37,1592.6
Alexandr Romanov,1574.14,1600.49
Thiago Santos,1574.11,1658.05
Li Jingliang,1573.63,1626.02
Jean Silva,1573.06,1573.06
Khalil Rountree Jr.,1572.59,1590.37
Taylor Lapilus,1572.48,1572.48
Alonzo Menifield,1572.45,1624.98
Alatengheili,1572.33,1576.17
Nate Quarry,1571.82,1600.84
Joe Pyfer,1570.99,1570.99
Waldo Cortes-Acosta,1570.87,1570.87
Irene Aldana,1570.49,1589.85
Loma Lookboonmee,1570.25,1570.25
Sage Northcutt,1570.12,1570.12
Matt Brown,1570.05,1645.91
David Onama,1569.87,1569.87
Pat Sabatini,1569.62,1577.52
Al Iaquinta,1569.43,1634.48
Chris Weidman,1569.27,1722.24
Johny Hendricks,1569.24,1695.34
Jared Rosholt,1568.49,1593.36
Mike Swick,1568.14,1658.79
Johnny Walker,1567.75,1615.35
Raoni Barcelos,1567.59,1599.37
Mike Malott,1567.44,1569.34
Enrique Barzola,1567.07,1572.43
Cody Garbrandt,1567.03,1633.9
Kevin Lee,1566.77,1656.55
Rodolfo Vieira,1566.69,1566.69
Chris Lytle,1566.56,1566.98
Iasmin Lucindo,1566.47,1566.47
Joshua Van,1566.22,1566.22
Paulo Costa,1566.05,1616.48
Ryan LaFlare,1566.04,1600.91
Sergio Pettis,1566.0,1590.34
Mike Davis,1565.92,1565.92
Dustin Jacoby,1565.91,1607.86
Ricky Simon,1565.84,1634.29
Brett Johns,1565.71,1565.71
Drew Dober,1565.59,1626.02
Joanna Jedrzejczyk,1565.53,1650.88
Askar Askarov,1565.45,1586.18
Raul Rosas Jr.,1565.29,1565.29
Myles Jury,1565.28,1624.93
Daniel Marcos,1565.24,1565.24
Ketlen Vieira,1564.92,1588.43
Rashad Evans,1564.48,1702.32
Jared Gordon,1564.29,1584.35
Karine Silva,1564.17,1587.7
Benoit Saint Denis,1564.1,1600.88
Jamahal Hill,1564.04,1610.82
Mark Bocek,1563.99,1566.94
Ricco Rodriguez,1563.9,1615.57
Anthony Smith,1563.88,1643.77
Matt Mitrione,1563.85,1615.07
Jalin Turner,1563.42,1600.12
King Green,1563.38,1588.61
Calvin Kattar,1563.18,1613.37
Manel Kape,1562.82,1562.82
Volkan Oezdemir,1562.61,1580.7
Mateusz Rebecki,1562.39,1564.34
Martin Buday,1562.2,1572.91
Tabatha Ricci,1562.16,1581.71
Chael Sonnen,1562.12,1582.03
Lauren Murphy,1561.68,1578.33
Sodiq Yusuff,1561.28,1609.52
