event,fighter_1,fighter_2,result,method,round,time,fighter_1_elo_start,fighter_2_elo_start,fighter_1_elo_end,fighter_2_elo_end
UFC 16: Battle in the Bayou,Laverne Clark,Josh Stuart,win,KO/TKO,1,1:15,1500.0,1500.0,1525.0,1475.0
UFC 16: Battle in the Bayou,Chris Brennan,Courtney Turner,win,SUB,1,1:20,1500.0,1500.0,1525.0,1475.0
UFC 16: Battle in the Bayou,Mikey Burnett,Eugenio Tadeu,win,KO/TKO,1,9:45,1500.0,1500.0,1525.0,1475.0
UFC 16: Battle in the Bayou,Pat Miletich,Townsend Saunders,win,S-DEC,2,3:00,1500.0,1500.0,1520.0,1480.0
UFC 16: Battle in the Bayou,Jerry Bohlander,Kevin Jackson,win,SUB,1,10:23,1567.23,1521.43,1588.95,1499.71
UFC 16: Battle in the Bayou,Pat Miletich,Chris Brennan,win,SUB,1,9:02,1520.0,1525.0,1545.36,1499.64
UFC 16: Battle in the Bayou,Tsuyoshi Kohsaka,Kimo Leopoldo,win,U-DEC,2,3:00,1500.0,1496.25,1519.78,1476.47
UFC 16: Battle in the Bayou,Frank Shamrock,Igor Zinoviev,win,KO/TKO,1,0:22,1528.57,1500.0,1551.52,1477.05
UFC 17: Redemption,Chuck Liddell,Noe Hernandez,win,U-DEC,1,12:00,1500.0,1500.0,1520.0,1480.0
UFC 17: Redemption,Andre Roberts,Harry Moskowitz,win,U-DEC,2,3:00,1500.0,1481.33,1518.93,1462.4
UFC 17: Redemption,Dan Henderson,Allan Goes,win,U-DEC,2,3:00,1500.0,1500.0,1520.0,1480.0
UFC 17: Redemption,Carlos Newton,Bob Gilstrap,win,SUB,1,0:52,1500.0,1500.0,1525.0,1475.0
UFC 17: Redemption,Mike van Arsdale,Joe Pardo,win,SUB,1,11:01,1500.0,1500.0,1525.0,1475.0
UFC 17: Redemption,David Abbott,Hugo Duarte,win,KO/TKO,1,0:43,1529.39,1500.0,1552.28,1477.11
UFC 17: Redemption,Dan Henderson,Carlos Newton,win,S-DEC,2,3:00,1520.0,1525.0,1540.29,1504.71
UFC 17: Redemption,Pete Williams,Mark Coleman,win,KO/TKO,2,0:38,1500.0,1619.56,1533.28,1586.28
UFC 17: Redemption,Frank Shamrock,Jeremy Horn,win,SUB,2,1:28,1551.52,1500.0,1572.84,1478.68
UFC - Ultimate Brazil,Cesar Marscucci,Paulo Santos,win,KO/TKO,1,10:27,1500.0,1500.0,1525.0,1475.0
UFC - Ultimate Brazil,Tulio Palhares,Adriano Santos,win,KO/TKO,1,9:00,1500.0,1500.0,1525.0,1475.0
UFC - Ultimate Brazil,Ebenezer Fontes Braga,Jeremy Horn,win,SUB,1,3:27,1500.0,1478.68,1523.47,1455.21
UFC - Ultimate Brazil,Tsuyoshi Kohsaka,Pete Williams,win,U-DEC,2,3:00,1519.78,1533.28,1540.56,1512.5
UFC - Ultimate Brazil,Pat Miletich,Mikey Burnett,win,S-DEC,3,3:00,1545.36,1525.0,1564.19,1506.17
UFC - Ultimate Brazil,Pedro Rizzo,David Abbott,win,KO/TKO,1,8:07,1500.0,1552.28,1528.73,1523.55
UFC - Ultimate Brazil,Vitor Belfort,Wanderlei Silva,win,KO/TKO,1,0:44,1573.74,1500.0,1593.51,1480.23
UFC - Ultimate Brazil,Frank Shamrock,John Lober,win,SUB,1,7:40,1572.84,1500.0,1592.67,1480.17
UFC 18: The Road to the Heavyweight Title,Laverne Clark,Frank Caracci,win,KO/TKO,1,6:52,1525.0,1500.0,1548.2,1476.8
UFC 18: The Road to the Heavyweight Title,Evan Tanner,Darrel Gholar,win,SUB,1,7:57,1500.0,1500.0,1525.0,1475.0
UFC 18: The Road to the Heavyweight Title,Mikey Burnett,Townsend Saunders,win,U-DEC,2,3:00,1506.17,1480.0,1524.67,1461.5
UFC 18: The Road to the Heavyweight Title,Tito Ortiz,Jerry Bohlander,win,KO/TKO,2,2:31,1502.8,1588.95,1533.87,1557.88
UFC 18: The Road to the Heavyweight Title,Pedro Rizzo,Mark Coleman,win,S-DEC,2,3:00,1528.73,1586.28,1552.01,1563.0
UFC 18: The Road to the Heavyweight Title,Pat Miletich,Jorge Patino,win,U-DEC,3,3:00,1564.19,1500.0,1580.54,1483.65
UFC 18: The Road to the Heavyweight Title,Bas Rutten,Tsuyoshi Kohsaka,win,KO/TKO,2,2:15,1500.0,1540.56,1527.91,1512.65
UFC 19: Ultimate Young Guns,Sione Latu,Joey Roberts,win,KO/TKO,1,10:01,1500.0,1500.0,1525.0,1475.0
UFC 19: Ultimate Young Guns,Pete Williams,Jason Godsey,win,SUB,1,1:56,1512.5,1500.0,1536.6,1475.9
UFC 19: Ultimate Young Guns,Evan Tanner,Valeri Ignatov,win,KO/TKO,1,2:58,1525.0,1500.0,1548.2,1476.8
UFC 19: Ultimate Young Guns,Kevin Randleman,Maurice Smith,win,U-DEC,2,3:00,1500.0,1534.9,1522.0,1512.9
UFC 19: Ultimate Young Guns,Jeremy Horn,Chuck Liddell,win,SUB,1,12:00,1455.21,1520.0,1484.82,1490.39
UFC 19: Ultimate Young Guns,Gary Goodridge,Andre Roberts,win,KO/TKO,1,0:43,1480.81,1518.93,1508.54,1491.2
UFC 19: Ultimate Young Guns,Tito Ortiz,Guy Mezger,win,KO/TKO,1,9:56,1533.87,1586.25,1562.61,1557.51
UFC 20: Battle for the Gold,Ron Waterman,Chris Condo,win,KO/TKO,1,0:28,1500.0,1500.0,1525.0,1475.0
UFC 20: Battle for the Gold,Laverne Clark,Fabiano Iha,win,KO/TKO,1,1:21,1548.2,1500.0,1569.75,1478.45
UFC 20: Battle for the Gold,Marcelo Mello,David Roberts,win,KO/TKO,1,1:23,1500.0,1500.0,1525.0,1475.0
UFC 20: Battle for the Gold,Wanderlei Silva,Tony Petarra,win,KO/TKO,1,2:53,1480.23,1500.0,1506.65,1473.58
UFC 20: Battle for the Gold,Pete Williams,Travis Fulton,win,SUB,1,6:28,1536.6,1500.0,1558.98,1477.62
UFC 20: Battle for the Gold,Pedro Rizzo,Tra Telligman,win,KO/TKO,1,4:30,1552.01,1501.8,1573.42,1480.39
UFC 20: Battle for the Gold,Bas Rutten,Kevin Randleman,win,S-DEC,3,3:00,1527.91,1522.0,1547.57,1502.34
UFC 21: Return of the Champions,Travis Fulton,David Dodd,win,U-DEC,2,5:00,1477.62,1500.0,1498.91,1478.71
UFC 21: Return of the Champions,Andre Roberts,Ron Waterman,win,KO/TKO,1,2:51,1491.2,1525.0,1518.62,1497.58
UFC 21: Return of the Champions,Eugene Jackson,Royce Alger,win,KO/TKO,2,1:19,1500.0,1475.0,1523.2,1451.8
