Fighter,Final ELO,Peak ELO
Macy Chiasson,1549.01,1593.27
Claudia Gadelha,1548.82,1567.89
JJ Aldrich,1548.6,1568.74
Ray Borg,1548.47,1571.03
Alexia Thainara,1548.37,1548.37
Oumar Sy,1548.36,1548.36
Yana Santos,1548.22,1548.22
Jacobe Smith,1548.17,1548.17
Baisangur Susurkaev,1548.16,1548.16
Casey Kenney,1548.09,1587.35
Sergio Moraes,1548.05,1620.6
Jimmy Crute,1547.86,1576.15
David Martinez,1547.84,1547.84
Zhang Mingyang,1547.78,1574.57
Stephan Bonnar,1547.49,1558.04
Adlan Amagov,1547.32,1547.32
Cesar Almeida,1547.28,1547.28
Kaue Fernandes,1547.26,1547.26
Julio Arce,1547.13,1547.13
Yadier del Valle,1546.93,1546.93
Alberto Mina,1546.8,1569.3
Michael Johnson,1546.63,1603.56
Ramazan Temirov,1546.54,1546.54
Victor Henry,1546.46,1558.25
King Green,1546.46,1602.37
Philipe Lins,1546.32,1546.32
Jared Gordon,1546.23,1573.69
Sam Hughes,1546.21,1546.21
Talita Alencar,1545.85,1545.85
Gerald Harris,1545.79,1569.75
Jon Madsen,1545.73,1572.6
Antonio Carlos Junior,1545.62,1612.43
Mansur Abdul-Malik,1545.53,1546.53
Eduarda Moura,1545.48,1545.48
Phillip Miller,1545.35,1545.35
Mauricio Ruffy,1545.06,1568.9
Enrique Barzola,1544.93,1572.47
Seokhyeon Ko,1544.84,1544.84
Bas Rutten,1544.79,1544.79
Jalin Turner,1544.76,1605.52
Abel Trujillo,1544.52,1593.91
Chris Holdsworth,1544.31,1544.31
Andre Petroski,1544.23,1603.56
Michael Graves,1544.21,1544.93
Sean Pierson,1544.21,1544.21
Paul Daley,1544.14,1559.75
Aaron Simpson,1543.75,1575.8
Dave Beneteau,1543.56,1550.0
Alex Hunter,1543.56,1543.56
Don Madge,1543.56,1543.56
Desmond Green,1543.54,1543.54
Brock Lesnar,1543.53,1596.08
Da'Mon Blackshear,1543.35,1564.37
Constantinos Philippou,1543.23,1594.24
Edimilson Souza,1543.2,1569.68
Kevin Vallejos,1543.15,1543.15
Olivier Aubin-Mercier,1543.12,1613.85
Claude Patrick,1542.79,1563.72
Pedro Munhoz,1542.71,1635.13
Travis Browne,1542.62,1631.78
Roman Kopylov,1542.55,1580.29
Punahele Soriano,1541.99,1549.1
Tom Breese,1541.83,1572.23
Sodiq Yusuff,1541.73,1612.25
Melvin Guillard,1541.44,1620.33
Krzysztof Soszynski,1541.39,1572.0
Tito Ortiz,1541.0,1676.9
Jake Shields,1541.0,1562.55
Lauren Murphy,1541.0,1580.25
Jack Shore,1540.97,1596.71
Rodolfo Vieira,1540.96,1569.7
Anthony Smith,1540.93,1649.62
Abus Magomedov,1540.86,1563.52
Mizuki,1540.76,1540.76
Luis Pena,1540.54,1554.35
Viscardi Andrade,1540.51,1540.51
Makhmud Muradov,1540.35,1567.11
Davey Grant,1540.12,1567.71
Morgan Charriere,1540.01,1540.01
Elijah Smith,1539.72,1539.72
George Sotiropoulos,1539.6,1652.03
Jesus Aguilar,1539.53,1543.88
Aleksandre Topuria,1539.48,1539.48
Claudio Silva,1539.3,1609.94
Darren Till,1539.28,1620.18
Jordan Leavitt,1539.13,1548.83
Marcus Davis,1538.99,1626.39
Patrick Cote,1538.75,1571.35
Davi Ramos,1538.53,1579.39
Taila Santos,1538.52,1567.78
Ismail Naurdiev,1538.27,1538.27
Albert Tumenov,1538.17,1592.5
Guy Mezger,1538.16,1566.02
Charles Radtke,1538.07,1541.38
Ricardo Almeida,1537.99,1559.84
Joe Lauzon,1537.87,1613.36
Diego Brandao,1537.84,1567.24
Cezar Ferreira,1537.8,1585.82
Zubaira Tukhugov,1537.68,1561.16
Alatengheili,1537.44,1559.21
Magnus Cedenblad,1537.34,1567.11
Wilson Gouveia,1537.32,1590.19
Andre Fili,1537.28,1565.71
Oban Elliott,1537.22,1560.68
Iuri Alcantara,1537.14,1595.28
Jordan Mein,1537.01,1556.68
Patrick Smith,1536.94,1536.94
David Terrell,1536.87,1536.87
Tim Elliott,1536.5,1536.5
Kennedy Nzechukwu,1535.99,1569.6
Jafel Filho,1535.97,1535.97
Matheus Nicolau,1535.91,1612.46
Joaquim Silva,1535.71,1565.31
Arjan Bhullar,1535.62,1535.62
Mark Madsen,1535.55,1583.67
Norman Parke,1535.48,1575.59
Hakeem Dawodu,1535.47,1579.7
Jorge Rivera,1535.36,1557.19
Piera Rodriguez,1535.08,1537.5
Josh Koscheck,1534.84,1679.13
Jeff Monson,1534.52,1550.75
Ali Bagautinov,1534.47,1565.76
Jose Delgado,1534.42,1551.29
Nicolae Negumereanu,1534.02,1562.17
Brian Ebersole,1534.02,1587.35
Mohammed Usman,1534.0,1557.85
Zach Reese,1533.94,1533.94
Wanderlei Silva,1533.87,1533.87
Vladimir Matyushenko,1533.72,1582.87
Wang Cong,1533.3,1533.3
Jeremy Kennedy,1533.27,1558.2
Andre Muniz,1533.11,1617.06
Hermes Franca,1533.0,1579.75
Laverne Clark,1532.95,1565.44
Gray Maynard,1532.56,1661.5
Dennis Bermudez,1532.41,1624.45
Brad Tavares,1532.4,1633.0
Johnny Case,1532.4,1582.62
Thiago Moises,1532.12,1561.21
Felipe Lima,1532.06,1552.27
Holly Holm,1532.05,1574.36
Carlos Condit,1531.96,1609.14
Karl Williams,1531.39,1553.1
Shamil Gaziev,1531.2,1551.57
Drew Fickett,1531.17,1532.05
Viviane Araujo,1531.12,1561.28
Douglas Silva de Andrade,1531.02,1551.16
Nick Diaz,1530.81,1581.49
Melissa Gatto,1530.77,1548.12
Mike Russow,1530.71,1587.85
Sergey Khandozhko,1530.63,1530.63
Magomed Mustafaev,1530.34,1552.19
Alex Morono,1530.32,1623.87
Cam Rowston,1530.28,1530.28
Joseph Morales,1530.23,1530.23
Aleksandar Rakic,1530.22,1611.47
Curtis Millender,1530.11,1572.47
Ramazan Emeev,1529.93,1580.23
Mark Hunt,1529.86,1597.24
Tom Lawlor,1529.81,1549.55
Vinc Pichel,1529.76,1597.9
Daniel Kelly,1529.52,1601.78
Jacob Volkmann,1529.5,1563.92
Jacob Malkoun,1529.44,1529.44
Tim Kennedy,1529.43,1572.74
Remco Pardoel,1529.4,1550.0
Steve Erceg,1529.31,1564.12
Adriano Martins,1529.3,1576.91
Jamall Emmers,1529.01,1529.01
Lucas Martins,1528.83,1553.11
Gleison Tibau,1528.68,1628.16
Khalid Murtazaliev,1528.68,1528.68
Yousri Belgaroui,1528.67,1528.67
Nina Nunes,1528.56,1546.2
Calvin Kattar,1528.45,1616.19
Paul Sass,1528.45,1573.45
Sanae Kikuta,1528.33,1528.33
Chidi Njokuani,1528.32,1548.95
Genki Sudo,1528.3,1528.3
Mason Jones,1528.02,1528.02
Alex Perez,1527.93,1608.62
Nora Cornolle,1527.58,1548.16
Dan Henderson,1527.53,1574.91
Carli Judice,1527.46,1527.46
Matt Serra,1527.42,1558.13
Todd Duffee,1527.09,1550.78
Che Mills,1527.02,1527.02
Cathal Pendred,1527.02,1579.71
Ikuhisa Minowa,1526.93,1526.93
Brian Foster,1526.91,1526.91
Gerard Gordeau,1526.67,1526.67
Aspen Ladd,1526.55,1566.02
Lee Murray,1526.54,1526.54
Jennifer Maia,1526.54,1548.01
Mateusz Rebecki,1526.42,1567.59
John Makdessi,1526.36,1571.61
Felicia Spencer,1526.28,1531.52
Melissa Croden,1526.23,1526.23
Dmitry Sosnovskiy,1526.23,1526.23
Saidyokub Kakhramonov,1526.18,1547.86
